table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,
"Table 1. Annual Estimates of the Population of Metropolitan and Micropolitan Statistical Areas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,,,
"CBSA
Code","Metro
Division
Code",Geographic area,Population estimates,,,,,,,,,,"April 1, 2000",
,,,"July 1,
2009","July 1,
2008","July 1,
2007","July 1,
2006","July 1,
2005","July 1,
2004","July 1,
2003","July 1,
2002","July 1,
2001","July 1,
2000",Estimates base,Census
,,Metropolitan statistical areas,,,,,,,,,,,,
,,(Titles of metropolitan divisions are indented.),,,,,,,,,,,,
19180,,"Danville, IL","80,067","80,453","80,910","81,502","81,696","82,136","82,364","82,909","83,447","83,796","83,924","83,919"
19260,,"Danville, VA","105,814","106,250","105,877","106,075","106,655","107,360","108,120","108,636","109,359","110,000","110,158","110,156"
19340,,"Davenport-Moline-Rock Island, IA-IL","379,066","376,980","375,360","373,818","372,916","372,754","372,866","373,855","374,642","375,820","376,048","376,019"
19380,,"Dayton, OH","835,063","837,036","839,563","841,558","843,575","845,594","845,508","845,416","846,089","848,093","848,155","848,153"
19460,,"Decatur, AL","151,399","150,344","149,299","148,172","147,244","146,414","146,680","146,040","146,330","146,050","145,873","145,867"
19500,,"Decatur, IL","108,204","108,326","108,722","109,025","109,582","109,987","110,656","111,980","113,307","114,476","114,706","114,706"
19660,,"Deltona-Daytona Beach-Ormond Beach, FL","495,890","497,344","498,769","494,302","485,940","476,695","465,989","458,400","451,291","445,060","443,343","443,343"
19740,,"Denver-Aurora-Broomfield, CO /1","2,552,195","2,500,384","2,449,476","2,399,620","2,353,518","2,321,712","2,297,441","2,276,250","2,246,785","2,194,022","2,179,343","2,179,240"
19780,,"Des Moines-West Des Moines, IA","562,906","554,101","544,240","533,704","522,760","511,589","504,107","496,973","490,191","483,210","481,394","481,394"
19820,,"Detroit-Warren-Livonia, MI","4,403,437","4,423,781","4,456,582","4,484,542","4,494,398","4,498,311","4,492,756","4,486,067","4,479,232","4,457,471","4,452,558","4,452,557"
19820,19804,".Detroit-Livonia-Dearborn, MI","1,925,848","1,949,024","1,981,238","2,008,730","2,025,145","2,037,048","2,046,478","2,054,221","2,059,824","2,058,758","2,061,161","2,061,162"
19820,47644,".Warren-Troy-Farmington Hills, MI","2,477,589","2,474,757","2,475,344","2,475,812","2,469,253","2,461,263","2,446,278","2,431,846","2,419,408","2,398,713","2,391,397","2,391,395"
20020,,"Dothan, AL","142,693","141,446","139,762","137,835","135,622","134,264","132,998","131,633","131,266","131,053","130,859","130,861"
20100,,"Dover, DE","157,741","155,492","152,090","148,041","143,294","138,382","134,222","131,301","128,821","127,109","126,704","126,697"
20220,,"Dubuque, IA","93,072","92,589","92,254","91,390","90,926","90,618","90,116","89,218","88,998","89,232","89,156","89,143"
20260,,"Duluth, MN-WI","276,368","275,188","273,889","273,716","274,086","274,962","275,582","275,792","276,392","275,580","275,485","275,486"
20500,,"Durham-Chapel Hill, NC","501,228","490,907","479,218","468,250","458,118","451,315","446,376","441,951","435,352","426,151","423,799","426,493"
20740,,"Eau Claire, WI","160,018","158,495","157,387","155,893","154,674","153,368","151,701","150,861","149,703","148,689","148,337","148,337"
20940,,"El Centro, CA","166,874","163,093","160,366","156,792","153,047","149,909","147,254","144,579","143,152","142,396","142,361","142,361"
21060,,"Elizabethtown, KY","113,433","112,408","111,642","110,653","110,324","108,953","108,621","108,491","108,109","107,694","107,550","107,547"
21140,,"Elkhart-Goshen, IN","200,502","200,125","198,394","196,691","193,541","190,298","187,890","185,148","185,090","183,521","182,791","182,791"
21300,,"Elmira, NY","88,331","87,902","88,058","88,164","88,351","89,366","89,816","90,409","90,673","91,079","91,072","91,070"
21340,,"El Paso, TX","751,296","738,416","727,828","720,756","708,683","702,433","694,672","688,771","684,780","680,942","679,622","679,622"
21500,,"Erie, PA","280,291","279,647","279,804","279,929","278,933","279,790","282,200","281,920","281,524","280,734","280,845","280,843"
21660,,"Eugene-Springfield, OR","351,109","348,425","344,812","339,280","335,242","331,876","330,447","327,394","324,829","323,505","322,979","322,959"
21780,,"Evansville, IN-KY","351,911","350,614","350,065","348,728","347,636","346,745","345,355","343,770","342,977","342,992","342,816","342,815"
21820,,"Fairbanks, AK","98,660","98,351","97,952","94,803","94,451","92,301","89,198","87,329","85,233","82,769","82,840","82,840"
22020,,"Fargo, ND-MN","200,102","195,948","192,358","189,263","185,854","183,730","179,461","177,537","176,297","174,791","174,367","174,367"
22140,,"Farmington, NM","124,131","122,407","122,289","121,613","121,912","120,863","119,780","118,277","115,133","114,035","113,801","113,801"
22180,,"Fayetteville, NC","360,355","354,334","351,017","348,072","344,849","349,048","346,913","342,404","338,125","336,893","336,610","336,609"
22220,,"Fayetteville-Springdale-Rogers, AR-MO","464,623","455,408","444,133","430,316","413,777","397,168","382,645","369,930","359,646","349,562","347,036","347,045"
22380,,"Flagstaff, AZ","129,849","128,426","127,451","126,029","124,804","123,349","121,545","120,390","117,803","116,717","116,318","116,320"
22420,,"Flint, MI","424,043","428,859","434,086","437,395","439,216","439,880","439,544","438,775","437,901","436,885","436,148","436,141"
22500,,"Florence, SC","200,653","200,231","199,027","198,008","196,698","196,067","195,573","194,704","193,798","193,260","193,155","193,155"
22520,,"Florence-Muscle Shoals, AL","144,238","143,826","143,128","142,454","141,836","141,630","141,263","141,466","142,234","143,006","142,944","142,950"
22540,,"Fond du Lac, WI","100,070","99,864","99,376","98,910","98,458","98,281","98,009","97,821","97,753","97,384","97,296","97,296"
22660,,"Fort Collins-Loveland, CO","298,382","292,889","286,927","281,215","275,477","271,830","268,671","265,659","260,746","253,152","251,486","251,494"
22900,,"Fort Smith, AR-OK","293,063","290,977","289,474","286,401","282,427","280,135","278,393","277,093","275,457","273,816","273,177","273,170"
23020,,"Fort Walton Beach-Crestview-Destin, FL","178,473","179,529","180,911","182,462","183,398","182,220","178,644","175,924","171,966","170,966","170,497","170,498"
